GeneID	NC2	NC3	NC5	Pcos1	Pcos2	Pcos5
tsrna-13297	1412.508998	1837.829321	1122.297823	1154.119849	934.125331	844.2977053
tsrna-12399	5163.300349	3015.693228	3447.236938	2332.15928	2621.577542	2766.142676
tsrna-06176	227.6491861	400.3704072	637.7262798	239.1958236	354.0636335	239.8199708
tsrna-14938	238.4896235	455.9056572	697.9838811	197.3365545	323.9305583	308.8092774
tsrna-06177	238.4896235	415.8686165	692.9624143	245.1757192	350.2969991	305.5240723
tsrna-12400	5196.905706	3026.025368	3499.962339	2493.616461	2855.108875	2946.828956
tsrna-13295	870.4871259	1396.130355	706.7714479	741.5070533	523.5621815	502.6363771
tsrna-20794	199.4640488	300.9235641	439.3783424	143.5174942	305.0973863	154.4046387
tsrna-15339	69.37879957	169.188785	115.4937357	41.85926914	56.49951599	72.27451174
tsrna-12398	5176.308874	2916.246385	3434.683271	2427.83761	2858.875509	2782.568702
tsrna-13296	1215.213036	1564.027623	979.1860202	1070.401311	738.2603422	752.3119631
tsrna-12405	5359.512267	3197.797188	3836.400613	2888.28957	3167.73953	2976.395802
tsrna-15342	178.8672176	379.7061281	532.2754777	215.2762413	244.8312359	177.4010743
tsrna-19738	61.79049337	68.45042446	164.4530367	71.75874709	60.26615039	39.42246095
tsrna-12410	5321.570736	3178.424426	3739.737377	2481.65667	3197.872605	3028.959083
tsrna-13493	969.1351065	821.4050935	538.5523111	645.8287238	410.5631495	502.6363771
tsrna-14937	215.7247049	424.9092386	621.4065128	233.215928	338.9970959	285.8128419
tsrna-12383	4735.103071	1979.896239	3622.988275	2714.872598	1879.550565	2178.090967
tsrna-19736	61.79049337	77.49104656	161.9423033	89.69843387	30.13307519	42.70766603
tsrna-24292	104.0681994	326.753913	233.4982048	149.4973898	139.3654728	114.9821778
tsrna-12412	5315.066474	3099.641862	3848.95428	2661.053538	3231.772314	2897.55088
tsrna-15341	189.7076551	334.5030176	485.82691	143.5174942	297.5641175	223.3939454
tsrna-09712	878.0754321	600.5556108	1398.478496	346.8339443	749.5602454	896.8609865
tsrna-12408	5366.016529	3316.616793	3847.698913	2780.65145	3156.439627	2943.543751
tsrna-12401	5087.417287	3068.645444	3511.260639	2631.15406	2817.442531	2864.698829
tsrna-14935	189.7076551	300.9235641	477.0393432	209.2963457	241.0646015	213.5383301
tsrna-15340	161.5225178	352.5842618	483.3161767	149.4973898	301.3307519	157.6898438
tsrna-12411	5291.217511	3164.217734	3833.889879	2565.375209	3197.872605	3157.082081
tsrna-12406	5335.663305	3177.132909	3837.655979	2852.410197	3141.373089	3111.08921
tsrna-19739	69.37879957	80.07408144	153.1547365	41.85926914	82.86595678	42.70766603
tsrna-13348	504.0803406	937.6416633	460.7195762	496.3313341	361.5969023	312.0944825
tsrna-12404	5337.831392	3205.546293	3754.801778	2655.073642	3220.472411	2936.973341
tsrna-13347	342.5578229	674.172105	325.1399734	304.9746751	256.1311391	295.6684571
tsrna-06875	913.8488756	703.8770062	515.9557107	520.2509164	470.8292999	522.3476075
tsrna-12362	253.6662359	145.941471	183.2835371	113.6180162	101.6991288	91.98574221
tsrna-12409	5271.704724	3075.103031	3776.143011	2362.058758	3197.872605	3170.222901
tsrna-00624	5245.687674	3032.482955	3678.224409	2523.515939	3254.372121	3117.65962
tsrna-12402	5320.486692	3135.804351	3827.613046	2792.611241	3118.773283	3068.381544
tsrna-13349	675.3592521	1031.922437	537.2969444	580.0498723	365.3635367	397.5098146
tsrna-12363	246.0779297	210.5173431	248.5626051	131.557703	184.5650856	170.8306641
tsrna-12403	5427.807023	3204.254775	3742.248111	2661.053538	3186.572702	2976.395802
tsrna-00623	5176.308874	2982.113775	3373.170303	2302.259803	2723.276671	2782.568702
tsrna-00621	4637.539134	1924.360989	3484.897939	2637.133956	2098.01536	2253.650684
tsrna-12407	5351.923961	3202.963258	3697.05491	2547.435522	2915.375025	3367.335206
tsrna-14936	184.2874364	351.2927444	541.0630445	155.4772854	282.4975799	295.6684571
tsrna-17123	112.7405493	63.28435469	76.57736825	41.85926914	56.49951599	55.84848634
tsrna-20212	5299.889861	2913.66335	3414.597404	2379.998445	2836.275703	2684.012549
tsrna-19737	68.29475583	64.57587213	188.3050039	77.73864268	48.96624719	36.13725587
